,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,This was the hardest one so far. During this practise I promised myself that I will not use my phone before 10 am. I am way to addicted it is not healthy anymore. Have a beautiful everyone,UgxKS37HXXtoC6bXqXV4AaABAg,0.0,0.0,2022-02-10T20:19:06Z,-0.998042106628418
1.0,Day 6! Loved the self-care focus of this practice. 20 minutes of abs workout and it felt super light! I am supported by my body. I am supported by my thoughts. I am supported by my breath.,UgyD9UidxlW23PFNMtJ4AaABAg,0.0,0.0,2022-02-06T10:41:27Z,0.999764621257782
2.0,I feel supported 🤗🤗😍💚,UgzoTT8RGtD4S11Vj3d4AaABAg,0.0,0.0,2021-12-24T07:39:12Z,0.9983029365539551
3.0,don't have a block so i used my cards against humanity box lol,Ugwrx6KFSmf_4rIpk-B4AaABAg,0.0,0.0,2021-11-12T08:56:39Z,-0.9976207613945007
4.0,Day 6 completed. This was an nice easy going core exercise. Thank you Andriene 🙂,Ugz-biCGzqjExGOIXaF4AaABAg,0.0,0.0,2021-11-06T13:39:29Z,0.9997913241386414
5.0,Day 6 completed.yay,Ugx2ydS6MMAKTOxCSAh4AaABAg,0.0,0.0,2021-10-30T11:07:00Z,0.9910933375358582
6.0,Love you Adrine God blessed ❤️❤️❤️❤️❤️❤️❤️❤️ thank you so much ❤️🙏🙏🙏🙏,UgzGu8h9jXeaqgUZogd4AaABAg,0.0,0.0,2021-10-23T09:18:51Z,0.9994727969169617
7.0,"""cross your legs like you're sitting in a coffee..shop..shut up Adrienne"" I wheezed too hard",Ugzcpr0gFlAlFMITQHp4AaABAg,0.0,0.0,2021-09-15T17:56:00Z,-0.9978905320167542
8.0,"In this moment - Fly like an eagle    - THANKS ADRIENNE 
I wanna fly like an eagle
To the sea
Fly like an eagle
Let my spirit carry me
I want to fly like an eagle
'Til I'm free
Oh, Lord, through the revolution",UgwaX_fslZnRVkhamNN4AaABAg,0.0,0.0,2021-09-14T16:39:03Z,0.9988723397254944
9.0,Thank you for your videos!! I always fast forward thru tomorrow's flow to see what I'm in for! Ready go crush some abs!!!,UgyQ91Ns11Q-DanGmF14AaABAg,0.0,0.0,2021-09-14T06:29:53Z,0.9996022582054138
10.0,🙏❤️,UgxA5oOoaWPmvx4Ottx4AaABAg,0.0,0.0,2021-09-04T03:52:06Z,-0.6970567107200623
11.0,day 6. i am supported :D,UgwdKbHrYUj9krI5r414AaABAg,0.0,0.0,2021-09-03T18:54:43Z,0.9875687956809998
12.0,Kindest way ever to work on my support ❤ 💛 💙,UgxPvYUcwv1k4sGLTGN4AaABAg,0.0,0.0,2021-08-16T05:40:51Z,0.9994996786117554
13.0,"Forget my safe place being on some beach. Today my safe place was here. Moving and grinning on my map in candle light, watching the trees outside in the dusk. Today I had a difficult day, so bless Adriene for helping me create this here and now : )",Ugz8QKlQFNh07K2lyZV4AaABAg,0.0,2.0,2021-08-08T19:00:40Z,0.9990079998970032
14.0,"Well this is going to suck! Just got back from a couple beach volleyball matches and a quick bike ride 😋😁 let’s do this!! 

❤️❤️❤️❤️❤️❤️
6/8",Ugz1o2WcX_fD962Ukrt4AaABAg,1.0,0.0,2021-08-05T00:03:41Z,-0.8985857367515564
15.0,My prop for today was a beanie baby :),UgwSbWZtAl_bio9O2UR4AaABAg,0.0,0.0,2021-07-24T12:26:41Z,0.772205650806427
16.0,thank you!!!!!!,UgzvBv5iVzCyCmRoCxJ4AaABAg,0.0,0.0,2021-07-07T20:42:18Z,0.9998655319213867
17.0,My boyfriend and I each took a slipper for our prop,UgxwlvAowZbFaLDyjRd4AaABAg,0.0,0.0,2021-07-07T16:57:17Z,-0.8158313632011414
18.0,I kept pausing to look at the screen and repeating but it I got it done. I am supported by these videos. Thank you.,UgzxZfpMTOOITNBVpYt4AaABAg,0.0,0.0,2021-07-07T15:27:13Z,0.9996931552886963
19.0,Best abs video so far.,Ugwm1fIY96iuFBFI9ux4AaABAg,0.0,0.0,2021-06-14T22:07:33Z,0.9997287392616272
20.0,"6 pack abs khuchukhuchuchuchu, lets hop on the mat and get started",Ugwfoqbr_XFevUR3SKR4AaABAg,0.0,0.0,2021-06-11T00:15:26Z,0.9922084212303162
21.0,"At the beginning, I was shaking like a motor whenever I'd move my head up and fold my abs in, but I embraced the shake and I felt more stable by the end haha.",UgzGV9MlN2YR7Z0re7h4AaABAg,0.0,0.0,2021-06-09T23:01:19Z,0.9984602928161621
22.0,The H is O : fave eagle song lol,UgzVzPO74sB9zWX50Cx4AaABAg,0.0,0.0,2021-06-07T02:11:44Z,-0.9321056604385376
23.0,"Before Yoga camp, I completed 30 days of yoga. And I should admit that this was one of the most challanging days for me, but proud to finish Day 6. :)",UgzLJCjfXV2nYt-L3r94AaABAg,0.0,0.0,2021-05-27T04:11:41Z,0.9969793558120728
24.0,"Late to the game, but my favorite song with the word eagle is ""I will Always Return"" by Bryan Adams from Spirit!",Ugx06JCDWq0TCFlO4uF4AaABAg,0.0,0.0,2021-05-22T03:21:52Z,0.9911278486251831
25.0,My abs are so weak and for years after I started exercising I avoided all ab work. Earlier in my life I would have skipped this day. Oh how things change. I am supported!,UgweyXOpXLkQ_bl1NWN4AaABAg,0.0,0.0,2021-05-10T23:00:08Z,0.9963016510009766
26.0,The Complete Works by William Shakespeare in one Volume are a perfect substitute for a yoga block! It works! :-),UgyO7G6OPZ2EtbwhbQt4AaABAg,0.0,0.0,2021-05-08T06:41:31Z,0.9975885152816772
27.0,Day SIX Done!!,UgyU1G6RuEqH5gi7r414AaABAg,0.0,0.0,2021-04-30T07:57:18Z,0.9816568493843079
28.0,The best thing happening for me these days. ❤,UgyvDGWGFWbQKLz1sZN4AaABAg,0.0,0.0,2021-04-29T10:05:36Z,0.9995912909507751
29.0,"Adriene: ""What's your favorite song with an eagle in it?""
My brain: ""~tick tock tick~ DOO DOO DOO DOO ~tick tock tick~""",Ugwny9_xntgCr8eOi7Z4AaABAg,0.0,0.0,2021-04-27T15:03:27Z,-0.6380767226219177
30.0,Is there any yoga in this videos or is just workouts?,UgwJipdjnC29bE2-WOp4AaABAg,0.0,0.0,2021-04-19T12:02:19Z,-0.9990147352218628
31.0,"That was fun!  I felt I needed to get on my yoga mat before I headed in to my office to teach an online course.  I was running short on time so decided to just yoga in my jeans and sweater.  I spend the session with puppy treats falling out of my pockets and using my dogs stuffed platypus as a prop.  Also, I LOVE the belly rubs!  It feels good to be nice to the belly!  Thank you for continuing to inspire me and make me laugh (with myself!)",UgwIRR5euUKIHENpHBp4AaABAg,0.0,0.0,2021-04-14T21:13:42Z,0.9973179697990417
32.0,The boat pose really hurts my tail bone. I fell on it and i think that is still a problem. Anything else I could try?,Ugxw-uePxHkOM40p5xB4AaABAg,0.0,0.0,2021-03-28T20:41:19Z,-0.9995526671409607
33.0,i used a glue bottle cluttering my floor :),Ugw8S6guHFq2k3z65N54AaABAg,0.0,0.0,2021-03-27T08:30:02Z,-0.9996308088302612
34.0,I was definitely thinking of Spirit's eagle friend when doing the eagle legs haha,UgwroTJQCiNU7zXY55B4AaABAg,0.0,0.0,2021-03-20T18:08:35Z,0.9947524070739746
35.0,Hey guys.. hope someone can help me...  I am looking for a video where is Adrienne standing and pulling her inner legs to the front and focusing on middle part of the belly .. pulling her tailbone down .. I can’t find it anywhere 🥲 help please I really liked that video 🙏🏼,Ugxolg2BgDGbt34cJ9N4AaABAg,0.0,0.0,2021-03-18T01:27:39Z,0.9848201870918274
36.0,Thank you 👐,Ugzb0P_Jx_jSdjujUyh4AaABAg,0.0,0.0,2021-03-12T23:27:44Z,0.9998127818107605
37.0,"That was tough!! My core is my weakest point, but slowly slowly it’s getting stronger!! 
Happy Women’s Day!!!! Xxxx",Ugzp1VH43S2uKMQUCd14AaABAg,0.0,0.0,2021-03-08T23:39:11Z,0.989526629447937
38.0,The Misfits - Where Eagles dare,Ugz1WeBT3hoE4A9Q-tB4AaABAg,0.0,0.0,2021-03-07T12:49:13Z,-0.8443924188613892
39.0,My fave eagle song is the one from Spirit by Bryan Adam’s,UgwiQGRDQv5RRXoXm5B4AaABAg,0.0,0.0,2021-02-22T16:05:43Z,0.9949625730514526
40.0,That was fun. So many new core practices. And my eagle song is by The Cat Empire 🙌🏽,UgxdpJCqc4hKaSjVfLd4AaABAg,0.0,0.0,2021-02-21T13:56:16Z,0.9995681643486023
41.0,I used my pink house slipper!,UgxHFbgW5YK0KoWgSlJ4AaABAg,0.0,0.0,2021-02-21T00:24:12Z,-0.9437528848648071
42.0,Got in a muddle in the middle so paused rewound worked it out and did it right. Wow great session. Thank you Adriene. I am supported because of you and the people who write comments.XXXPS Used Harlan Coben Live Wire book...hmmm seems appropriate,Ugxan_kxyNqVpMNUbqJ4AaABAg,0.0,0.0,2021-02-19T19:43:59Z,0.9996079802513123
43.0,I used the Campbell Biology textbook for my prop...I would have chosen something lighter had I known what it was for!,Ugxq19AoWrd0YQOCfPF4AaABAg,0.0,1.0,2021-02-12T06:35:39Z,-0.998656153678894
44.0,HI. I am collapsing during the Flying V at 17:00. Any advice?,Ugx8A3B9_7WLSokPwJN4AaABAg,1.0,0.0,2021-02-09T13:26:21Z,-0.9995057582855225
45.0,I kept falling back on the part where we were supposed to find the sweet spot and balance. Really showed me that I have some core work to do lol. I put a pillow where my head kept landing and said “I am supported” 🙃,UgzRjEGQPaEKm3zyLUF4AaABAg,0.0,0.0,2021-02-08T15:26:41Z,0.9946742057800293
46.0,"loving the positive, kind mindset you exert in these - this was a lot better than I thought it would be, after dreading it all day! I hope to come back to day 6 after I've completed the entire 30 days to see how far I've come :) thanks, Adriene!",UgysOl4mkSb4sK3uvMF4AaABAg,0.0,0.0,2021-02-06T21:37:20Z,0.9997668862342834
47.0,So excited to use my yoga block that I got for Christmas 😁,UgyoDKwu0teX-OBAipJ4AaABAg,0.0,0.0,2021-01-11T08:02:12Z,0.9971457123756409
48.0,This is my fave core work!,UgzyX0z9LAtplvAfMLN4AaABAg,0.0,0.0,2021-01-09T15:33:14Z,0.9998493194580078
49.0,"Day6, getting our butts kick😂",UgzShLI8W6yJLaIIZSt4AaABAg,0.0,0.0,2020-12-18T03:03:25Z,-0.9709710478782654
50.0,"repeated day 6, but was worse than previous day, will come back to that when core stronger. thank you Adriene.",UgwqPf5U-5cnp-JLXsh4AaABAg,0.0,0.0,2020-12-08T11:11:17Z,0.9992930889129639
51.0,"I used a pet shark! Also, my favorite song with an eagle in the lyrics is Luther Vandross' Love The One You're With. I love your videos Adriene!!!",UgxqR6i85XUich98bvJ4AaABAg,0.0,0.0,2020-12-08T07:03:09Z,0.9996330738067627
