,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"Ohhhh yeeees baby. can't believe I was able to lift at the end, I was not feeling myself for a good part of the practice so when I could put my leg over my shoulder I was like ""wait..."" and then  when I could lift.. oooooh yeah baby, I'm back. hahaha I even yelled at my mom ""come see thiiisss"" This was wonderful, Ready to go to work and rock my day <3",UggWejuSeYfumHgCoAEC,4.0,237.0,2017-01-24T12:00:28Z,0.9954181909561157
1.0,Surely one has to take into account one’s weight in evaluating whether or not you can realistically expect to do some of these poses. I’m not exactly overweight but I’d have to be a serious muscle trainer to hold up and balance my entire body weight just with my arms.,UgwLyI3rMZXBmkhKjr94AaABAg,0.0,0.0,2022-02-24T16:37:10Z,0.7260967493057251
2.0,"I started my yoga journey as a beginner last feb 2021 today is my year anniversary with YWA. I actually held a crow pose today & held it solid for some time, 1st time ever & I involuntarily cried out of pure joy & pride in myself. Thank you so much A & everyone who shows up with us. Just keep showing up & you will be amazed at how far you can go. ✌🏽💚",Ugw7Uc5IMKaFxYwbiYt4AaABAg,0.0,0.0,2022-02-16T18:52:45Z,0.9997676014900208
3.0,Day 64 of 100 days of yoga 🧘🏽‍♀️ challenge. Great practice. Thanks Adrienne 🙏🏽😊❤️,Ugzpdm7p05xjpsZd-Dx4AaABAg,0.0,0.0,2022-01-31T09:58:35Z,0.9996252059936523
4.0,Thank you YWA team!!,UgxAllcLNtD4Kga5nHh4AaABAg,0.0,0.0,2022-01-28T23:34:51Z,0.999854326248169
5.0,asdghjfashjgfjha nice pose i love when i get to learn eccentric poses,Ugw-hg91sCz7KOqFdSJ4AaABAg,0.0,0.0,2021-11-29T16:46:43Z,0.998961329460144
6.0,Day 24 Done,UgxRP2wPrFnEyA5IVKx4AaABAg,0.0,0.0,2021-11-27T16:50:33Z,0.9808576107025146
7.0,"Wow, this was a tough one. Loved every second! Dancers pose is always difficult for me, because of my balance problems, but it worked out not so bad as I told myself ""patience, patience"". And then crow pose and elephant pose in the end... Well, maybe, when I repeat this series someday in the future, I'll not only get to the poses for a second but hold it for two or three. Patience! The journey is a long one and a little goes a long way. Namasté, Adriene!",Ugwsy67tY6NZRawxSRp4AaABAg,0.0,0.0,2021-11-24T19:40:21Z,-0.9643816351890564
8.0,"When I saw the length of this video, I was a little reluctant to start at first. I practice in the morning and there is not much time before school. But I decided, ""let's just do it, I don't wanna skip a day, the longer you sit here the longer it's gonna take."" And I jumped in. It was awesome! Flew by quite fast, and I still have enough space to do everything else. Namaste.🙏❤😌",UgwW98Mf0M7jYBGxQZd4AaABAg,0.0,0.0,2021-11-10T05:29:27Z,0.9978092312812805
9.0,"Adriene doing all the crazy poses:
Me, not even able to achieve bus stop 1 🤭🤣",Ugzc2-SRmniG-80bo-J4AaABAg,0.0,0.0,2021-11-07T19:34:04Z,-0.995429515838623
10.0,Very good practice patience. It  rests mind.,UgxSelsDCu8Bes2fb2V4AaABAg,0.0,0.0,2021-11-07T00:19:08Z,0.9993788003921509
11.0,thank you!!!!!,Ugw1HRz-R4W53LrgqZF4AaABAg,0.0,0.0,2021-11-06T21:51:44Z,0.9998663663864136
