,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,Welcome to MOVE! Comment below and let us know what you want to MOVE towards in this 30 day Yoga Journey!,UgxeOUL6xLfIzCO2oQF4AaABAg,223.0,1188.0,2022-01-01T12:37:47Z,0.9997022747993469
1.0,"I love your program ❤️ I’ve been doing it every morning and although I can’t do half of the stuff I need to, I feel like my muscles and joints are much looser…. This is the 1st program of yoga I’m doing and I love it ❤️",Ugy76agV_GSO0v0dDCd4AaABAg,0.0,0.0,2022-02-28T06:58:56Z,0.997000515460968
2.0,"I will be here, tomorrow.
Mark my journey.
Day-Zero",UgxLWZ4EjnpLC4y2zSJ4AaABAg,0.0,1.0,2022-02-26T19:41:15Z,0.9944756627082825
3.0,"After Covid I have struggled to exercise, I get more tired than before, my lungs don't respond as they used to. I used to be very fit, now I am feeling stiff, old and physically limited! I need to move PERIOD. I need to regain my energy, stamina and fitness.",UgxXdPX3qD46yMFPD_14AaABAg,0.0,0.0,2022-02-26T19:30:24Z,-0.9987253546714783
4.0,"As a yoga teacher, want to learn English. thankful",UgzKryHDZvYtsxpkRi14AaABAg,0.0,0.0,2022-02-26T13:41:07Z,0.993501603603363
5.0,"I started this earlier this year, but I stopped. I am coming back to it because I’ve been sick and not taking care of myself as much physically. Thank you for doing this Adrienne! It’s so appreciated!",Ugzj_ALw6RYkoBPSlUl4AaABAg,0.0,0.0,2022-02-25T17:23:24Z,0.992678165435791
6.0,day 0,UgwbVev2pxGVHH65vfB4AaABAg,0.0,0.0,2022-02-24T02:43:30Z,0.9367661476135254
7.0,I am starting today!,UgyULpKxhsHONVAz2f54AaABAg,0.0,0.0,2022-02-23T11:47:30Z,0.9997403025627136
8.0,I have started this from today...lets see what happened,UgxWRPZyNwk1osQAURV4AaABAg,0.0,0.0,2022-02-23T04:06:42Z,0.9951347708702087
9.0,Thank you for your time and energy in this 30 day challenge! I DID IT! and I am grateful for the gift you have given me!,UgzL6L5HHi5UxKdu-P54AaABAg,0.0,0.0,2022-02-22T02:11:19Z,0.9998520612716675
