,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"FRIENDS! Tell me, what is one take away from the journey so far? 

We are half way. And the second half, in my opinion, is the BEST.

Yours,
 A",UgzUyHpQeYbydBnBXGN4AaABAg,133.0,441.0,2022-01-16T16:09:03Z,0.999782145023346
1.0,I cannot thank you enough for the words you choose to use and the empathy you give to all of us. I woke up so anxious today and you made it possible for me to both move my body and get all my emotions out. I can't believe how much we really are in our heads for the moving our arms back and forth part but that really helped me shake so much of it out. I appreciate you more than words can say. Thank you Adriene I love you <3,UgxzKVeOBa8u_ViOVQJ4AaABAg,0.0,0.0,2022-02-28T15:41:12Z,0.999661922454834
2.0,I love your classes - a little yoga a day and suddenly your body and mind is more flexible. PLus Benji rocks!,UgyhlbufInDEjNgVbep4AaABAg,0.0,0.0,2022-02-28T09:54:20Z,0.9998090863227844
3.0,"After not having practiced for awhile, I tend to forget how refreshing being on the mat is to the body, mind, and soul. Thank you Adriene❣️",Ugzw-7A0Je07zZ1y49d4AaABAg,0.0,0.0,2022-02-28T07:25:19Z,0.99915611743927
4.0,Thank you,UgwAghMBAJOsw4g639p4AaABAg,0.0,0.0,2022-02-27T16:12:51Z,0.9998352527618408
5.0,💛💛,Ugx3WbRMku4cxgxsRVx4AaABAg,0.0,0.0,2022-02-26T14:29:13Z,-0.6970567107200623
6.0,"When you invited me to stillness, I couldnt help but just cry. I remembered my grandmother who used to be near me whenever I did yoga. She’s not here anymore and I missed her but the weirdest thing happened. I felt one with her. I couldn’t help but just smile while bawling my eyes out. Thank you so much for this, Adriene. You dont know how much you have helped me find my truest self. 💓",UgwhTbTDLOCvm7JFyGZ4AaABAg,0.0,0.0,2022-02-25T00:11:25Z,0.9992214441299438
7.0,"Reset, reinvigorate! Great practice today.",UgwcG4loEbvS2Rk8H894AaABAg,0.0,0.0,2022-02-24T15:18:48Z,0.9998013377189636
8.0,"I’m here in February. So proud I made it halfway. I started this challenge when I got offered a new job so I could be in better physical and mental condition to start. I start tomorrow and I have done a complete 180 the last couple weeks. I was in a depression, eating crap and living mindlessly. Now I’m back on my game and ready to start!!",UgyygvNdX_L6UhBco-R4AaABAg,0.0,1.0,2022-02-24T14:48:14Z,0.9667957425117493
9.0,"This reset is exactly what I needed today! I didn't feel like doing my workouts and yoga today. So glad I did it anyway. I love the "" knocking on heavens door"" ❤❤",UgxOYoSMel6aG3xnX114AaABAg,0.0,0.0,2022-02-23T14:11:16Z,0.997674286365509
10.0,"Beautiful, loved the shoulder and midbody rotation. Something new to refocus my mind and transform energy into my well being. Thank you!",Ugw2Z3B3Un5A8z7H-Tx4AaABAg,0.0,0.0,2022-02-23T12:40:36Z,0.9998691082000732
11.0,"We are moving people, its day 15!!! Thank Adriene so much for shering everything you have with us. Thank you, I am so grateful for you ❤",Ugy5zTAAx886sBh2X_x4AaABAg,0.0,2.0,2022-02-22T09:11:10Z,0.999845027923584
12.0,Love you thanks so mucch,UgxD952giGXHgpjIZv94AaABAg,0.0,0.0,2022-02-22T04:07:42Z,0.9996882677078247
13.0,"I needed this one today, woke up so clenched in my chest and shoulders. Busted out of that with the heavens door ! Lol",UgwUqVQ8WlnFsMLNMUl4AaABAg,0.0,1.0,2022-02-21T18:44:15Z,-0.9796390533447266
14.0,"Does anyone else always start smiling when knocking on heavens door? Like i cannot control it, i just start smiling.",Ugyd5FZLeE6zceWkGBh4AaABAg,0.0,1.0,2022-02-21T18:16:45Z,-0.9675481915473938
15.0,I've had this sharp and constant pain around my left shoulder blade for years and have been searching for the right stretch to relieve it. Following this 20 minute video did just that. Feeling a lot of gratitude for this practice right now.,Ugx21SL55Vc_KRUPKEZ4AaABAg,0.0,1.0,2022-02-21T17:00:59Z,0.8801248073577881
16.0,Good reset day!,UgzomRc9bc7IEz7k-ex4AaABAg,0.0,2.0,2022-02-21T14:08:59Z,0.9998242259025574
