,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"What does center feel like?
Why is center important? 
May we use the tools of yoga to learn how to feel our center, to learn how to guide our way back to center, and to celebrate that it is a journey.",UgzXbgJWyoPXFlMCT914AaABAg,49.0,649.0,2021-01-19T14:14:48Z,0.9986756443977356
1.0,"bbbbrreath...and....center.....wonderful, so happy my body can still do so much (almost 70). Loving hug from Belgium",Ugxm89TctAl-IVdgPkh4AaABAg,0.0,0.0,2022-02-27T17:50:41Z,0.9998897314071655
2.0,Omg Benji is such a ham. I love him.,UgyjB4zVAzyiuDiKRol4AaABAg,0.0,0.0,2022-02-24T22:49:26Z,0.8987212181091309
3.0,Haha just like last year (comment reminded me) I started singing a different song with ‘can you feel it’ 😂 looooved this practice! It really flew by,Ugx4XmCqIaWQy-mYbLh4AaABAg,0.0,0.0,2022-02-20T12:03:22Z,0.9825941920280457
4.0,"there was a power cut so I thought I might miss practise, im on day 58 after finishing move 30 day challenge. Was excited when the electricity came back on and we started in shivassana. lots of love and gratitude",Ugxdzk9Lvq-lEFVsKLN4AaABAg,0.0,2.0,2022-02-18T20:17:24Z,0.9982218146324158
5.0,This practice was late in the day after toooo much bread. Wow that was harder. Makes me think twice about what I put in my mouth. I don’t want yoga to be hard. Interesting.,UgzLHbjzKD6ZmhwW99R4AaABAg,0.0,1.0,2022-02-18T05:09:41Z,0.9701573252677917
6.0,Feeling centred 🧘‍♀️,Ugwx3WjlKMrgePxOvSl4AaABAg,0.0,0.0,2022-01-24T08:26:11Z,0.9964046478271484
7.0,¡Nos vemos mañana!,Ugze0xftpCBfa6srTk94AaABAg,0.0,0.0,2022-01-08T22:28:50Z,0.9978973865509033
8.0,So wonderful 🤘 🐸,UgzrEhkcpX-0T8BtCPJ4AaABAg,0.0,0.0,2022-01-07T06:57:08Z,0.999875545501709
9.0,"OMG, I can't believe it. I did that🤩 that felts like I am powerful that I can hold my whole body with my hands and be in the air without any flying.LOL😂😂😂😂 now I feel more exited with my body and mind .hohooooo💃💃💃💃",Ugxxp2rZaaiYeIQ55iV4AaABAg,0.0,0.0,2022-01-04T19:23:15Z,0.9965697526931763
10.0,"Boons From india 
1  Yoga ( patanjali) 
2 Zero ( Mathematics )
3 Phythagorean theoram ( mathematics ).
4 Hostel  from dvapar yug 
5pastic surgery 

Proud to be an indian",UgyhnmXlbsDHoHd2kGp4AaABAg,0.0,0.0,2021-12-13T16:52:55Z,0.9972409009933472
