,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,♥️🙏🏼,Ugx4BLNKJFeXbc6sXcF4AaABAg,0.0,0.0,2022-02-22T19:03:47Z,-0.6970567107200623
1.0,I like it 😁,UgyMmZVDyUUDQU7z1Nd4AaABAg,0.0,0.0,2022-02-19T17:26:59Z,0.9997929930686951
2.0,"Loved this 16 minute sequence. After doing MOVE for 30 days in January 2022 for the very first time, I don't want to give up YOGA now that I have started, as it is a part of my everyday routine before heading out the door and also a few nights before going to bed. I have been  exploring  the so many YOGA with Adriene practices, and I discovered this one today. Loved working the core.  Core work is essential has helped with my lower back and posture and I am getting stronger everyday. I have so much to learn when it comes to YOGA. Thank you Adriene from Australia. xx",Ugxql_VOKurIO6Fn7yt4AaABAg,0.0,0.0,2022-02-14T03:59:06Z,0.9994169473648071
3.0,It’s so amazing how after all these years she’s still her same goofy self >.< I hope she never loses touch with her sparkle!!,UgymLvrplc8G3nkaYmZ4AaABAg,0.0,0.0,2022-02-11T17:32:23Z,0.9998457431793213
4.0,Out of any series I've ever done of yours for 30 days I find your realness and adorability the most sacred in this series,UgxSIXpm9Zin4xwwyzt4AaABAg,0.0,0.0,2022-02-11T02:16:19Z,0.9994550347328186
5.0,Day 6 ✅️,UgyOF5ieCqiyuwO8DPV4AaABAg,0.0,1.0,2022-02-10T13:14:12Z,0.910175621509552
6.0,2022 Started this challenge (again) ... my goal is to remain consistent and complete all 30 days.,UgwbawaNInp8oVG6HCd4AaABAg,0.0,0.0,2022-01-30T17:56:28Z,0.9948334693908691
7.0,"the last one was so hard for me, my abs are crying",UgzH79K7-yTtMJwPXUR4AaABAg,0.0,0.0,2022-01-21T01:22:47Z,-0.9912421703338623
8.0,"Return to Yoga, after a much too long break & hip replacement. If You could only see my beaming (71 yo) face, as I, once again, begin  my practice & refind/refeel my connection to the Joys Yoga gifts me. Namaste",UgzPlYdGxNvxva3QgGR4AaABAg,0.0,0.0,2022-01-14T17:19:17Z,0.9981334805488586
9.0,"Most challenging day so far,  personally- because I was yawning tears, and fighting to stay awake.   Lying down throughout triggered it    Anyone else had that during yoga?",UgzU0Z8RjWMDcWGyW8J4AaABAg,0.0,0.0,2022-01-11T12:31:03Z,-0.9914956092834473
10.0,We'll hear what my abs have to say tomorrow!,Ugy_HUDIiPq15wxJ0bh4AaABAg,0.0,0.0,2022-01-09T16:59:15Z,0.9989494681358337
